Mean,Std,Max,Min,Kurtosis,Skew,Dominant Frequency,Dominant Amplitude,Spectral Energy,Envelope Mean,Envelope Std,Envelope Dominant Frequency,Envelope Dominant Amplitude,Label,Signal Name
0.03364290984375,0.2155370266830196,0.540106,-0.502055,-0.7963682107480485,-0.005789344218693657,12032.0,2788.4606775834204,15964536.485497965,0.2838781589259703,0.1160062684339226,0.0,7267.280868504839,0,file0.xlsx_vertbleu
-0.0037113380859375,0.028867518574167014,0.140252,-0.133573,0.3194866936411862,-0.1266490398491909,11972.0,228.0504972340193,282093.6681721632,0.035344906752420246,0.020764843380233978,0.0,904.8296128619584,0,file0.xlsx_vert
0.038543118789062504,0.21500860221405368,0.55523,-0.482418,-0.793831501241764,-0.007555152761046258,12032.0,2768.534431634067,16121801.753185093,0.28351118413689713,0.11646617509477412,0.0,7257.886313904568,0,file1.xlsx_vertbleu
-0.0037109726171875,0.028823683254275555,0.097269,-0.120857,0.27474353200511814,-0.14706424051433498,11972.0,228.55928565877105,281263.2137309116,0.03535289783739589,0.020628941391843295,0.0,905.0341846373348,0,file1.xlsx_vert
0.039034597734374996,0.22259508480528145,0.567793,-0.49803,-0.8127884238635974,-0.005461457443539076,12032.0,2897.802441632434,17234642.781187713,0.2943930632109095,0.11812515416125285,0.0,7536.462418199284,0,file10.xlsx_vertbleu
-0.0037821309375000002,0.028964774240105465,0.105758,-0.118247,0.291458404260573,-0.12369059826160815,12032.0,230.04627354829574,284284.40838804585,0.03542097177366513,0.02091830670086038,0.0,906.7768774058275,0,file10.xlsx_vert
0.0367693115234375,0.21823716428103193,0.550595,-0.494554,-0.8057111844558107,-0.005367416287077432,12032.0,2805.2287922754685,16492598.435213804,0.28803382574728575,0.11680500396810817,0.0,7373.665939130517,0,file100.xlsx_vertbleu
-0.0036973191796875002,0.02880198032461333,0.111735,-0.131835,0.28383457277103386,-0.15142672958919964,11972.0,228.29725714766593,280787.071199401,0.0353595655334694,0.020554297968283352,0.0,905.2048776568167,0,file100.xlsx_vert
0.035511070078125,0.21705861669898358,0.546875,-0.490285,-0.8019815362053042,-0.0058157937086619135,12032.0,2830.7734788282655,16264893.185101813,0.2865381347896648,0.11569710084334503,0.0,7335.376250615418,0,file101.xlsx_vertbleu
-0.0037043971875000002,0.02826783845129879,0.091427,-0.115326,0.23063693414261666,-0.1310245570517582,11972.0,225.5745288082964,270832.6936946262,0.03467707185859712,0.02023276076966896,0.0,887.7330395800863,0,file101.xlsx_vert
0.036708701328125,0.21619012907430998,0.550412,-0.493944,-0.7980453273580355,-0.005539250168959745,12032.0,2808.7936458111126,16198269.96101557,0.28523294301980306,0.11604313109677991,0.0,7301.963341306959,0,file102.xlsx_vertbleu
-0.0036588728515625,0.028381014718200825,0.091067,-0.114759,0.2559170055416322,-0.13967364206070507,11972.0,225.6724803123137,272713.82625786745,0.03486059943834787,0.020225968519433275,0.0,892.4313456217054,0,file102.xlsx_vert
0.040502508281249995,0.22203606451450383,0.56828,-0.49986,-0.8125588603014373,-0.006165121201776122,12032.0,2884.124827313891,17229714.529590543,0.29381650847577806,0.11795056607724254,0.0,7521.702616979918,0,file103.xlsx_vertbleu
-0.0036814635937499995,0.028752821875236267,0.104081,-0.119302,0.28565908911673743,-0.12164767278698016,12032.0,229.75653902733626,279783.36535542505,0.03515824403290779,0.020758143923540535,0.0,900.0510472424394,0,file103.xlsx_vert
0.0412623002734375,0.22314326934270023,0.568646,-0.494615,-0.8187327840717709,-0.006663869368388101,12032.0,2904.919677287843,17431943.040039327,0.2957821423989834,0.11747907824994246,0.0,7572.022845413974,0,file104.xlsx_vertbleu
-0.0037315196875,0.029057009886507803,0.094202,-0.111612,0.24198419086219358,-0.11534375223906217,12032.0,230.65170697727345,285788.79013286286,0.03558627681495967,0.020884459768650068,0.0,911.0086864629675,0,file104.xlsx_vert
0.040244243085937506,0.21801102307298542,0.552242,-0.492176,-0.8088978775207267,-0.005625244754201711,12032.0,2846.148345404057,16635655.909554586,0.2884484254909223,0.1160806004447885,0.0,7384.27969256761,0,file105.xlsx_vertbleu
-0.003720951171875,0.02837606564643554,0.101063,-0.11385,0.2400750040191899,-0.13385016277821216,12032.0,226.26432698591827,272922.0494832749,0.03477983084617912,0.0203619985996612,0.0,890.3636696621855,0,file105.xlsx_vert
0.0402721038671875,0.21543187242228642,0.562304,-0.479552,-0.7917840778404321,-0.0066875615978615474,12032.0,2798.3880196426267,16270809.864794703,0.28440176405775053,0.11644422281466653,0.0,7280.685159878412,0,file106.xlsx_vertbleu
-0.0036689758984375,0.02823473394258013,0.098397,-0.122376,0.270692463153241,-0.14790725430667595,11972.0,225.78542273262414,270048.6012114018,0.03460601719478806,0.02025550095851981,0.0,885.9140401865743,0,file106.xlsx_vert
0.0390848921875,0.22092114341093771,0.571696,-0.491688,-0.8127821427690534,-0.0066459304923675985,12032.0,2866.542964991775,16993944.765468895,0.29214201639793147,0.1174434705160383,0.0,7478.835619787045,0,file107.xlsx_vertbleu
-0.0036643067968750004,0.02851372757193181,0.09808,-0.112783,0.2532243322289478,-0.1423401195427406,12032.0,228.68898261639103,275214.1395956349,0.03495487935470922,0.020436458246572184,0.0,894.844911480556,0,file107.xlsx_vert
0.0401318025390625,0.22346796881719733,0.573159,-0.510105,-0.8149022029658406,-0.005801462060173907,12032.0,2908.135454910033,17419155.658413876,0.2960050385155044,0.11776006561395262,0.0,7577.728985996913,0,file108.xlsx_vertbleu
